,title,num_reviews,review_rating,num_languages,tags,num_tags,genres,num_genres,publisher
13022,Zaccaria Pinball - Combat Table,,2 user reviews,,"['Free to Play', 'Casual', 'Simulation', 'Sports']",4.0,"['Casual', 'Free to Play', 'Simulation', 'Sports']",4.0,Magic Pixel Kft.
13023,Arcade Tycoon - Soundtrack Album,,1 user reviews,,"['Simulation', 'Strategy', 'Indie']",3.0,"['Indie', 'Simulation', 'Strategy']",3.0,Vincent King Studio
13024,Zaccaria Pinball - Fire Mountain Table,,1 user reviews,,"['Free to Play', 'Casual', 'Simulation', 'Sports']",4.0,"['Casual', 'Free to Play', 'Simulation', 'Sports']",4.0,Magic Pixel Kft.
13025,Kyle is Famous OST + Bonus Tracks,,2 user reviews,,"['Adventure', 'Indie', 'Free to Play']",3.0,"['Adventure', 'Free to Play', 'Indie', 'John Szymanski']",4.0,John Szymanski
13026,DOA6 Seaside Eden Costume - Zack,,,10,"['Action', 'Gore', 'Violent', 'Nudity', 'Sexual Content']",5.0,['Action'],1.0,"KOEI TECMO GAMES CO., LTD."
13027,Zaccaria Pinball - Moon Flight Table,,2 user reviews,,"['Free to Play', 'Casual', 'Simulation', 'Sports']",4.0,"['Casual', 'Free to Play', 'Simulation', 'Sports']",4.0,Magic Pixel Kft.
13028,Zaccaria Pinball - Star God Table,,1 user reviews,,"['Free to Play', 'Casual', 'Simulation', 'Sports']",4.0,"['Casual', 'Free to Play', 'Simulation', 'Sports']",4.0,Magic Pixel Kft.
13029, Nyakori's Rabbit Doll - After Story,,Very Positive,,"['Adventure', 'Indie', 'RPG', 'Horror', 'JRPG', 'Anime', 'Cute', 'RPGMaker', 'Mystery', 'Drama', 'Multiple Endings', 'Female Protagonist', 'Touch-Friendly']",13.0,"['Adventure', 'Indie', 'RPG']",3.0,赤瞳大白猫
13030,DOA6 Seaside Eden Costume - Bass,,,10,"['Action', 'Gore', 'Violent', 'Nudity', 'Sexual Content']",5.0,['Action'],1.0,"KOEI TECMO GAMES CO., LTD."
13031,Zaccaria Pinball - Robot Table,,1 user reviews,,"['Free to Play', 'Casual', 'Simulation', 'Sports']",4.0,"['Casual', 'Free to Play', 'Simulation', 'Sports']",4.0,Magic Pixel Kft.
13032,Zaccaria Pinball - Top Hand Table,,1 user reviews,,"['Free to Play', 'Indie', 'Casual', 'Simulation', 'Sports']",5.0,"['Action', 'Casual', 'Free to Play', 'Indie', 'Simulation']",5.0,Magic Pixel Kft.
13033,Zaccaria Pinball - Cine Star Table,,1 user reviews,,"['Free to Play', 'Casual', 'Simulation', 'Sports']",4.0,"['Casual', 'Free to Play', 'Simulation', 'Sports']",4.0,Magic Pixel Kft.
13034,McOsu - Donation - 1,,9 user reviews,,['Indie'],1.0,[],0.0,McKay
13035,LET IT DIE -(Special)10 Death Metals- 019,,,10,"['Action', 'Free to Play', 'Gore', 'Violent', 'Nudity', 'Sexual Content']",6.0,"['Action', 'Free to Play', 'GRASSHOPPER MANUFACTURE INC.']",3.0,GungHo Online Entertainment America
13036,Zaccaria Pinball - House of Diamonds Table,,1 user reviews,,"['Free to Play', 'Casual', 'Simulation', 'Sports']",4.0,"['Casual', 'Free to Play', 'Simulation', 'Sports']",4.0,Magic Pixel Kft.
13037,Taima Miko Yuugi,586,Very Positive,,"['Sexual Content', 'Adventure', 'Nudity', 'RPG', 'Indie', 'Anime', 'RPGMaker', 'Female Protagonist', 'JRPG']",9.0,"['Adventure', 'Indie', 'RPG']",3.0,Paradise Project
